data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5option,acc,0.2341,0,0,0,0
medqa_5option,f1(macro),0.159,0,0,0,0
medqa_4option,acc,0.2969,0,0,0,0
medqa_4option,f1(macro),0.1774,0,0,0,0
kormedmcqa_dentist,acc,0.2293,0,0,0,0
kormedmcqa_dentist,f1(macro),0.1766,0,0,0,0
kormedmcqa_doctor,acc,0.2046,0,0,0,0
kormedmcqa_doctor,f1(macro),0.1534,0,0,0,0
kormedmcqa_nurse,acc,0.303,0,0,0,0
kormedmcqa_nurse,f1(macro),0.2441,0,0,0,0
kormedmcqa_pharm,acc,0.2497,0,0,0,0
kormedmcqa_pharm,f1(macro),0.1916,0,0,0,0
medqa_5option,acc,0.2419,0,1,0,0
medqa_5option,f1(macro),0.1628,0,1,0,0
medqa_4option,acc,0.2891,0,1,0,0
medqa_4option,f1(macro),0.1739,0,1,0,0
kormedmcqa_dentist,acc,0.233,0,1,0,0
kormedmcqa_dentist,f1(macro),0.1752,0,1,0,0
kormedmcqa_doctor,acc,0.1977,0,1,0,0
kormedmcqa_doctor,f1(macro),0.1458,0,1,0,0
kormedmcqa_nurse,acc,0.3098,0,1,0,0
kormedmcqa_nurse,f1(macro),0.2503,0,1,0,0
kormedmcqa_pharm,acc,0.2452,0,1,0,0
kormedmcqa_pharm,f1(macro),0.1912,0,1,0,0
